Subdomain
www.safvdi.safaricom.co.ke
api.migration.fsprod.safaricom.co.ke
workspaces.devsecops.safaricom.co.ke
www.twendekwastreets.safaricom.co.ke
thegrid.safaricom.co.ke
api.fsdev.safaricom.co.ke
iotsimmanagement.safaricom.co.ke
www.employee.safaricom.co.ke
www.devlake.devsecops-uat.safaricom.co.ke
www.iotsimmanagement.safaricom.co.ke
www.ebuloyalty.safaricom.co.ke
SFDC.safaricom.co.ke
lyncdiscoverinternal.safaricom.co.ke
elearning.safaricom.co.ke
www.grafana.safaricom.co.ke
f5.eiom.safaricom.co.ke
www.eventsmanagementuat.safaricom.co.ke
www.sre.safaricom.co.ke
internalapi.safaricom.co.ke
www.uat-sslcertificates.safaricom.co.ke
smetool.safaricom.co.ke
sip.safaricom.co.ke
svdt8pim2html5gw01.safaricom.co.ke
www.test.business.safaricom.co.ke
shubdr.safaricom.co.ke
sdwan1.safaricom.co.ke
smtpgate6.safaricom.co.ke
api.cardpayments.safaricom.co.ke
golftour.safaricom.co.ke
api.dxlsandbox.safaricom.co.ke
uat.falcon.safaricom.co.ke
payroll.safaricom.co.ke
employee-uat.safaricom.co.ke
diginoc.safaricom.co.ke
www.employee-uat.safaricom.co.ke
dcbatf2.safaricom.co.ke
mobilepass.safaricom.co.ke
qlikinsightsdev.safaricom.co.ke
www.uat-internet.safaricom.co.ke
smesales2.safaricom.co.ke
www.dcbatf2.safaricom.co.ke
*.groups.safaricom.co.ke
www.uat-brand-content-hub.safaricom.co.ke
www.waridibot.safaricom.co.ke
devapix.safaricom.co.ke
www.devexperience.safaricom.co.ke
www.uat-iotsimmanagement.safaricom.co.ke
deci-fgt02.ngao.safaricom.co.ke
WealthDVPortal.safaricom.co.ke
www.franchisesimswap.safaricom.co.ke
www.fafanuka.safaricom.co.ke
eflow.safaricom.co.ke
*.fsawsdev.safaricom.co.ke
pool1.safaricom.co.ke
beta.coaching.safaricom.co.ke
itcacti.safaricom.co.ke
www.safaricom.co.ke
smartreporting.remedy.safaricom.co.ke
api.consumer.fsdev.safaricom.co.ke
selfcareapp.safaricom.co.ke
api.dxlapi.safaricom.co.ke
www.ftth.safaricom.co.ke
oms.recov.safaricom.co.ke
mtahiniwa.safaricom.co.ke
*.coaching.safaricom.co.ke
spotfire.customerexperience.safaricom.co.ke
api.merchant.fsdev.safaricom.co.ke
daraja.safaricom.co.ke
ageeza.safaricom.co.ke
webconf.safaricom.co.ke
dxlportalazprod.safaricom.co.ke
wbx.safaricom.co.ke
swaggerhub.ipesandbox.safaricom.co.ke
uat-xprome.safaricom.co.ke
kinga.safaricom.co.ke
api.uat1-ssk.safaricom.co.ke
mpesa1tapgw.safaricom.co.ke
*.cardpaymentsawsuat.safaricom.co.ke
www.change-enablement-portal.safaricom.co.ke
dxl.dxlapi.safaricom.co.ke
www.edmstest.safaricom.co.ke
nsagee.safaricom.co.ke
api2.safaricom.co.ke
