Subdomain
report.skiza.safaricom.com
broker.safaricom.com
www.contentapi.safaricom.com
www.skiza.safaricom.com
www.report.skiza.safaricom.com
*.safaricom.com
hesdp.safaricom.com
ipn.safaricom.com
www.hesdp.safaricom.com
PIM.safaricom.com
smartwater.safaricom.com
safaricom.com
vumaonline.safaricom.com
www.dtsvc.safaricom.com
www.dcbatf3.safaricom.com
stattest.safaricom.com
dtsvcweb.safaricom.com
games.safaricom.com
mledger.safaricom.com
cp.safaricom.com
c1stats.safaricom.com
wwww.identity.safaricom.com
luckydrawpromo.skiza.safaricom.com
www.broker.safaricom.com
uat-identity.safaricom.com
media.safaricom.com
www.digitalservices.safaricom.com
dsvc.safaricom.com
www.bundles-test.safaricom.com
www.cp.safaricom.com
www.messaging.safaricom.com
contentapi.safaricom.com
uat.safaricom.com
www.uat.safaricom.com
bundles-test.safaricom.com
sfcdev.safaricom.com
skiza.safaricom.com
uat-cp.safaricom.com
dtsvc.safaricom.com
promo.skiza.safaricom.com
preprod.safaricom.com
www.uat.digitalservices.safaricom.com
identity.safaricom.com
www.uat-identity.safaricom.com
messaging.safaricom.com
uat.digitalservices.safaricom.com
www.uat.cp.safaricom.com
www.app.safaricom.com
dsvcweb.safaricom.com
uat-accounts.safaricom.com
digitalservices.safaricom.com
www.games.safaricom.com
portal.safaricom.com
www.identity.safaricom.com
gmc.safaricom.com
www.dcbatf2.safaricom.com
testbroker.safaricom.com
dsvc3.safaricom.com
www.tunes.skiza.safaricom.com
www.dcbatf1.safaricom.com
securenet.safaricom.com
capi.safaricom.com
cheza.safaricom.com
www.safaricom.com
dcbatf1.safaricom.com
tunes.skiza.safaricom.com
pim.safaricom.com
aisong.skiza.safaricom.com
bonga.safaricom.com
dsvc4.safaricom.com
gm.safaricom.com
app.safaricom.com
bundles.safaricom.com
dsvc2.safaricom.com
www.uat-accounts.safaricom.com
www.preprod.safaricom.com
www.uat-cp.safaricom.com
c3stats.safaricom.com
